edge_id,src,dst,w_raw,w_norm,severity,severity_norm_mean,severity_norm,R_ij,P_level,C_level,RiskLevel
0,3392,4348,0.0,0.009999999776482582,1.9053761959075928,0.12933945655822754,0.12933945655822754,0.0012933944817632437,1,2,2
1,3391,4348,0.0,0.009999999776482582,1.3510127067565918,0.05014467239379883,0.05014467239379883,0.000501446716953069,1,2,2
2,3391,4255,0.0,0.009999999776482582,3.211432933807373,0.3159189820289612,0.3159189820289612,0.0031591898296028376,1,4,4
3,3391,3395,0.4999999701976776,0.5049999952316284,1.3510127067565918,0.05014467239379883,0.05014467239379883,0.025323059409856796,5,2,10
4,3395,4255,0.4999999701976776,0.5049999952316284,3.211432933807373,0.3159189820289612,0.3159189820289612,0.1595390886068344,5,4,20
5,3398,4255,0.0,0.009999999776482582,3.211432933807373,0.3159189820289612,0.3159189820289612,0.0031591898296028376,1,4,4
6,3398,4348,0.0,0.009999999776482582,1.3449997901916504,0.049285683780908585,0.049285683780908585,0.0004928568378090858,1,2,2
7,3399,4255,0.0,0.009999999776482582,3.211432933807373,0.3159189820289612,0.3159189820289612,0.0031591898296028376,1,4,4
8,3399,3401,0.0,0.009999999776482582,1.2357912063598633,0.03368445858359337,0.03368445858359337,0.00033684459049254656,1,2,2
9,3401,4246,0.4999999701976776,0.5049999952316284,2.5539159774780273,0.2219879925251007,0.2219879925251007,0.11210393160581589,5,3,15
10,0,4255,0.0,0.009999999776482582,3.211432933807373,0.3159189820289612,0.3159189820289612,0.0031591898296028376,1,4,4
11,0,1,0.0,0.009999999776482582,2.1281213760375977,0.1611602008342743,0.1611602008342743,0.0016116020269691944,1,3,3
12,1,3401,0.0,0.009999999776482582,1.3758184909820557,0.053688354790210724,0.053688354790210724,0.0005368835409171879,1,2,2
13,3396,3401,0.0,0.009999999776482582,1.2357912063598633,0.03368445858359337,0.03368445858359337,0.00033684459049254656,1,2,2
14,2,4255,0.0,0.009999999776482582,3.211432933807373,0.3159189820289612,0.3159189820289612,0.0031591898296028376,1,4,4
15,2,3401,0.0,0.009999999776482582,1.9388821125030518,0.13412602245807648,0.13412602245807648,0.0013412601547315717,1,2,2
16,3,4246,0.0,0.009999999776482582,2.5539159774780273,0.2219879925251007,0.2219879925251007,0.0022198797669261694,1,3,3
17,3,4,0.0,0.009999999776482582,1.2206346988677979,0.031519241631031036,0.031519241631031036,0.0003151924174744636,1,2,2
18,4,4246,0.0,0.009999999776482582,2.5539159774780273,0.2219879925251007,0.2219879925251007,0.0022198797669261694,1,3,3
19,3391,4246,0.0,0.009999999776482582,2.5539159774780273,0.2219879925251007,0.2219879925251007,0.0022198797669261694,1,3,3
20,3395,3396,0.0,0.009999999776482582,1.2114753723144531,0.030210766941308975,0.030210766941308975,0.00030210765544325113,1,2,2
21,5,4246,0.0,0.009999999776482582,2.5539159774780273,0.2219879925251007,0.2219879925251007,0.0022198797669261694,1,3,3
22,5,6,0.0,0.009999999776482582,1.0729726552963257,0.010424665175378323,0.010424665175378323,0.00010424664651509374,1,2,2
23,6,3394,0.0,0.009999999776482582,1.0819660425186157,0.011709434911608696,0.011709434911608696,0.00011709434329532087,1,2,2
24,7,3394,0.0,0.009999999776482582,1.0819660425186157,0.011709434911608696,0.011709434911608696,0.00011709434329532087,1,2,2
25,3390,4255,0.0,0.009999999776482582,3.211432933807373,0.3159189820289612,0.3159189820289612,0.0031591898296028376,1,4,4
26,3390,3395,0.0,0.009999999776482582,1.243577480316162,0.034796781837940216,0.034796781837940216,0.00034796781255863607,1,2,2
27,3188,3189,0.0,0.009999999776482582,3.302302837371826,0.32890039682388306,0.32890039682388306,0.0032890038564801216,1,4,4
28,8,3189,0.0,0.009999999776482582,1.2129485607147217,0.030421223491430283,0.030421223491430283,0.0003042122407350689,1,2,2
29,8,3397,0.0,0.009999999776482582,1.2367784976959229,0.03382549807429314,0.03382549807429314,0.0003382549621164799,1,2,2
30,3188,3405,0.0,0.009999999776482582,3.302302837371826,0.32890039682388306,0.32890039682388306,0.0032890038564801216,1,4,4
31,3405,3406,1.0,1.0,1.7706784009933472,0.11009691655635834,0.11009691655635834,0.11009691655635834,5,2,10
