rank,node_id,label,pred_label,S_i,S_i_norm,P_high
1,3208,7,7,6.625401020050049,0.8036287426948547,0.8895323872566223
2,3367,0,7,6.287258148193359,0.7553225755691528,0.7744829058647156
3,3335,7,7,5.861773490905762,0.6945390701293945,0.6965527534484863
4,3100,0,7,5.780804634094238,0.6829720735549927,0.6702619791030884
5,3300,7,7,5.271528720855713,0.6102184057235718,0.5497689247131348
6,3410,7,7,5.2337965965271,0.6048280596733093,0.5363411903381348
7,3250,0,7,5.220036029815674,0.6028622984886169,0.5448948740959167
8,3187,4,7,5.135870456695557,0.590838611125946,0.4781188368797302
9,3225,3,7,5.129342079162598,0.5899060368537903,0.5190479755401611
10,3448,7,7,5.106844902038574,0.5866921544075012,0.5122314095497131
11,3439,0,7,4.940774917602539,0.562967836856842,0.4348016381263733
12,3198,7,7,4.917545318603516,0.5596493482589722,0.44707292318344116
13,3308,0,7,4.904932975769043,0.5578475594520569,0.472310334444046
14,3475,8,3,4.8817009925842285,0.5545287132263184,0.44029542803764343
15,3299,1,7,4.720188140869141,0.5314554572105408,0.42097002267837524
16,3184,0,3,4.632208824157715,0.5188869833946228,0.4078224003314972
17,3421,5,3,4.615900039672852,0.5165571570396423,0.39899492263793945
18,3117,5,3,4.600656509399414,0.5143795013427734,0.3999428451061249
19,3646,4,4,4.58603572845459,0.5122908353805542,0.33845949172973633
20,3138,7,3,4.569488048553467,0.5099268555641174,0.3949297070503235
