rank,edge_id,src,dst,R_ij,w_norm,severity,P_level,C_level,RiskLevel
1,1288,3475,3491,0.8833997845649719,1.0,7.183798313140869,5,8,40
2,5170,3300,4627,0.8737934827804565,1.0,7.116554260253906,5,8,40
3,2930,3244,3300,0.8737934827804565,1.0,7.116554260253906,5,8,40
4,237,3487,3488,0.8732487559318542,1.0,7.112741470336914,5,8,40
5,2177,3335,4325,0.8623596429824829,1.0,7.03651762008667,5,8,40
6,3636,3335,3804,0.8623596429824829,1.0,7.03651762008667,5,8,40
7,2115,3116,3335,0.8623596429824829,1.0,7.03651762008667,5,8,40
8,2174,3335,3866,0.8623596429824829,1.0,7.03651762008667,5,8,40
9,3173,3335,3861,0.8623596429824829,1.0,7.03651762008667,5,8,40
10,3297,3208,3873,0.8573415875434875,1.0,7.0013909339904785,5,8,40
11,2148,3208,3862,0.8573415875434875,1.0,7.0013909339904785,5,8,40
12,1048,3198,3693,0.8504018187522888,1.0,6.952812671661377,5,7,35
13,1009,3198,3771,0.8504018187522888,1.0,6.952812671661377,5,7,35
14,999,3100,3684,0.8384963870048523,1.0,6.8694748878479,5,7,35
15,1082,3100,4381,0.8384963870048523,1.0,6.8694748878479,5,7,35
16,1069,3100,3698,0.8384963870048523,1.0,6.8694748878479,5,7,35
17,1002,3100,3685,0.8384963870048523,1.0,6.8694748878479,5,7,35
18,1001,3100,3771,0.8384963870048523,1.0,6.8694748878479,5,7,35
19,4647,3100,4199,0.8384963870048523,1.0,6.8694748878479,5,7,35
20,3724,3448,4271,0.8349317312240601,1.0,6.844521999359131,5,7,35
