edge_id,src,dst,w_raw,w_norm,severity,severity_norm_mean,severity_norm,R_ij,P_level,C_level,RiskLevel
0,3494,3574,0.0,0.009999999776482582,3.8628079891204834,0.4089725613594055,0.4089725613594055,0.00408972566947341,1,4,4
1,0,3494,0.0,0.009999999776482582,1.459084153175354,0.06558345258235931,0.06558345258235931,0.0006558345048688352,1,2,2
2,0,3780,0.0,0.009999999776482582,5.514245986938477,0.6448922753334045,0.6448922753334045,0.0064489226788282394,1,6,6
3,1,3780,0.0,0.009999999776482582,5.514245986938477,0.6448922753334045,0.6448922753334045,0.0064489226788282394,1,6,6
4,1,3494,0.0,0.009999999776482582,4.075798511505127,0.439399778842926,0.439399778842926,0.004393997602164745,1,5,5
5,3494,3780,0.9999998807907104,0.9999998807907104,5.514245986938477,0.6448922753334045,0.6448922753334045,0.6448922157287598,5,6,30
6,2,3573,0.0,0.009999999776482582,1.9093310832977295,0.12990443408489227,0.12990443408489227,0.0012990443501621485,1,2,2
7,2,3494,0.0,0.009999999776482582,1.9093310832977295,0.12990443408489227,0.12990443408489227,0.0012990443501621485,1,2,2
8,3,4,0.0,0.009999999776482582,1.0374735593795776,0.005353365559130907,0.005353365559130907,5.353365486371331e-05,1,2,2
9,4,5,0.0,0.009999999776482582,1.0432090759277344,0.0061727249994874,0.0061727249994874,6.172724533826113e-05,1,2,2
10,5,6,0.0,0.009999999776482582,1.717984676361084,0.10256923735141754,0.10256923735141754,0.0010256923269480467,1,2,2
11,7,3780,0.0,0.009999999776482582,5.514245986938477,0.6448922753334045,0.6448922753334045,0.0064489226788282394,1,6,6
12,7,3494,0.0,0.009999999776482582,3.4499588012695312,0.34999412298202515,0.34999412298202515,0.0034999412018805742,1,4,4
13,8,3497,0.0,0.009999999776482582,1.4380640983581543,0.06258058547973633,0.06258058547973633,0.0006258058128878474,1,2,2
14,8,9,0.0,0.009999999776482582,1.0046390295028687,0.0006627184920944273,0.0006627184920944273,6.627184575336287e-06,1,2,2
15,9,10,0.0,0.009999999776482582,1.1080527305603027,0.015436104498803616,0.015436104498803616,0.0001543610414955765,1,2,2
16,10,3497,0.0,0.009999999776482582,1.4380640983581543,0.06258058547973633,0.06258058547973633,0.0006258058128878474,1,2,2
17,11,3782,0.0,0.009999999776482582,2.5509002208709717,0.22155717015266418,0.22155717015266418,0.002215571701526642,1,3,3
18,11,12,0.0,0.009999999776482582,2.5509002208709717,0.22155717015266418,0.22155717015266418,0.002215571701526642,1,3,3
19,12,13,0.0,0.009999999776482582,1.1738529205322266,0.024836132302880287,0.024836132302880287,0.00024836132070049644,1,2,2
20,13,14,0.0,0.009999999776482582,1.106851577758789,0.015264511108398438,0.015264511108398438,0.00015264510875567794,1,2,2
21,14,15,0.0,0.009999999776482582,1.106851577758789,0.015264511108398438,0.015264511108398438,0.00015264510875567794,1,2,2
22,16,17,0.0,0.009999999776482582,3.0709033012390137,0.29584333300590515,0.29584333300590515,0.002958433236926794,1,4,4
23,17,3181,0.0,0.009999999776482582,2.9577362537384033,0.279676616191864,0.279676616191864,0.0027967661153525114,1,3,3
24,18,3181,0.0,0.009999999776482582,1.3518092632293701,0.050258465111255646,0.050258465111255646,0.0005025846185162663,1,2,2
25,19,3181,0.0,0.009999999776482582,1.3518092632293701,0.050258465111255646,0.050258465111255646,0.0005025846185162663,1,2,2
26,19,20,0.0,0.009999999776482582,1.0900647640228271,0.012866394594311714,0.012866394594311714,0.00012866394536104053,1,2,2
27,20,3784,0.0,0.009999999776482582,1.0847737789154053,0.012110539712011814,0.012110539712011814,0.00012110539682907984,1,2,2
28,21,3784,0.0,0.009999999776482582,1.4104387760162354,0.058634109795093536,0.058634109795093536,0.0005863410769961774,1,2,2
29,21,22,0.0,0.009999999776482582,1.4104387760162354,0.058634109795093536,0.058634109795093536,0.0005863410769961774,1,2,2
30,22,23,0.0,0.009999999776482582,1.3089659214019775,0.04413798823952675,0.04413798823952675,0.00044137987424619496,1,2,2
31,24,25,0.0,0.009999999776482582,1.0371198654174805,0.005302838049829006,0.005302838049829006,5.302837962517515e-05,1,2,2
32,25,26,0.0,0.009999999776482582,1.0371198654174805,0.005302838049829006,0.005302838049829006,5.302837962517515e-05,1,2,2
33,26,3497,0.0,0.009999999776482582,1.4380640983581543,0.06258058547973633,0.06258058547973633,0.0006258058128878474,1,2,2
34,4838,4839,0.9999998807907104,0.9999998807907104,1.850885033607483,0.12155500799417496,0.12155500799417496,0.12155499309301376,5,2,10
35,3785,4838,0.0,0.009999999776482582,1.850885033607483,0.12155500799417496,0.12155500799417496,0.0012155500007793307,1,2,2
36,3785,4839,0.0,0.009999999776482582,1.5712484121322632,0.081606924533844,0.081606924533844,0.0008160691941156983,1,2,2
37,3495,4839,0.5,0.5049999952316284,1.6722238063812256,0.09603197127580643,0.09603197127580643,0.04849614202976227,5,2,10
38,4838,4840,0.5,0.5049999952316284,1.850885033607483,0.12155500799417496,0.12155500799417496,0.06138527765870094,5,2,10
39,4839,4840,0.0,0.009999999776482582,1.5787991285324097,0.08268558233976364,0.08268558233976364,0.0008268558303825557,1,2,2
40,27,4839,0.0,0.009999999776482582,2.286914825439453,0.18384496867656708,0.18384496867656708,0.0018384496215730906,1,3,3
41,27,4838,0.0,0.009999999776482582,2.286914825439453,0.18384496867656708,0.18384496867656708,0.0018384496215730906,1,3,3
42,28,3787,0.0,0.009999999776482582,1.4958114624023438,0.07083021849393845,0.07083021849393845,0.0007083021337166429,1,2,2
43,3182,3787,0.5,0.5049999952316284,1.8155797719955444,0.11651139706373215,0.11651139706373215,0.05883825570344925,5,2,10
44,29,3790,0.0,0.009999999776482582,2.933307647705078,0.2761867940425873,0.2761867940425873,0.002761867828667164,1,3,3
45,29,30,0.0,0.009999999776482582,2.933307647705078,0.2761867940425873,0.2761867940425873,0.002761867828667164,1,3,3
46,30,3789,0.0,0.009999999776482582,1.5364899635314941,0.07664142549037933,0.07664142549037933,0.0007664142176508904,1,2,2
47,31,3787,0.0,0.009999999776482582,1.4958114624023438,0.07083021849393845,0.07083021849393845,0.0007083021337166429,1,2,2
48,32,3787,0.0,0.009999999776482582,1.4958114624023438,0.07083021849393845,0.07083021849393845,0.0007083021337166429,1,2,2
49,32,3497,0.0,0.009999999776482582,1.4774346351623535,0.06820494681596756,0.06820494681596756,0.0006820494309067726,1,2,2
50,33,3497,0.0,0.009999999776482582,1.4380640983581543,0.06258058547973633,0.06258058547973633,0.0006258058128878474,1,2,2
51,33,34,0.0,0.009999999776482582,1.197101354598999,0.02815733663737774,0.02815733663737774,0.0002815733605530113,1,2,2
52,34,3788,0.0,0.009999999776482582,3.3365824222564697,0.33379748463630676,0.33379748463630676,0.0033379746600985527,1,4,4
53,3478,4573,0.0,0.009999999776482582,3.4464943408966064,0.3494991958141327,0.3494991958141327,0.003494991920888424,1,4,4
54,35,3497,0.0,0.009999999776482582,1.4380640983581543,0.06258058547973633,0.06258058547973633,0.0006258058128878474,1,2,2
55,35,36,0.0,0.009999999776482582,1.2963999509811401,0.04234284907579422,0.04234284907579422,0.0004234284861013293,1,2,2
56,36,3497,0.0,0.009999999776482582,1.4380640983581543,0.06258058547973633,0.06258058547973633,0.0006258058128878474,1,2,2
57,37,3576,0.0,0.009999999776482582,1.0980218648910522,0.01400312315672636,0.01400312315672636,0.0001400312321493402,1,2,2
58,37,3784,0.0,0.009999999776482582,1.0847737789154053,0.012110539712011814,0.012110539712011814,0.00012110539682907984,1,2,2
59,3576,3784,0.0,0.009999999776482582,1.0980218648910522,0.01400312315672636,0.01400312315672636,0.0001400312321493402,1,2,2
60,38,3496,0.0,0.009999999776482582,1.122802734375,0.01754324696958065,0.01754324696958065,0.00017543246212881058,1,2,2
