rank,edge_id,src,dst,R_ij,w_norm,severity,P_level,C_level,RiskLevel
1,5725,3816,5188,0.9271950125694275,0.9999998807907104,7.490365982055664,5,8,40
2,1647,3816,4213,0.9271950125694275,0.9999998807907104,7.490365982055664,5,8,40
3,4998,3816,5160,0.9271950125694275,0.9999998807907104,7.490365982055664,5,8,40
4,1657,3816,4057,0.9271950125694275,0.9999998807907104,7.490365982055664,5,8,40
5,5483,3816,3870,0.9271950125694275,0.9999998807907104,7.490365982055664,5,8,40
6,1822,3816,4211,0.9271950125694275,0.9999998807907104,7.490365982055664,5,8,40
7,837,3739,3777,0.8578429818153381,0.9999998807907104,7.004901885986328,5,8,40
8,1040,3777,4886,0.8578429818153381,0.9999998807907104,7.004901885986328,5,8,40
9,6056,3777,4238,0.8578429818153381,0.9999998807907104,7.004901885986328,5,8,40
10,6058,3777,4260,0.8578429818153381,0.9999998807907104,7.004901885986328,5,8,40
11,4165,4485,5102,0.8569394946098328,0.9999998807907104,6.998577117919922,5,7,35
12,4170,4485,4620,0.8569394946098328,0.9999998807907104,6.998577117919922,5,7,35
13,2373,3477,4202,0.8568990230560303,0.9999998807907104,6.998293876647949,5,7,35
14,451,3477,3873,0.8568990230560303,0.9999998807907104,6.998293876647949,5,7,35
15,372,3477,3862,0.8568990230560303,0.9999998807907104,6.998293876647949,5,7,35
16,3080,3794,4369,0.7962292432785034,0.9999998807907104,6.573605537414551,5,7,35
17,3077,3794,4699,0.7962292432785034,0.9999998807907104,6.573605537414551,5,7,35
18,3079,3794,4113,0.7962292432785034,0.9999998807907104,6.573605537414551,5,7,35
19,2124,3651,4687,0.7647024989128113,0.9999998807907104,6.3529181480407715,5,7,35
20,2111,3651,4815,0.7647024989128113,0.9999998807907104,6.3529181480407715,5,7,35
