rank,edge_id,src,dst,R_ij,w_norm,severity,P_level,C_level,RiskLevel
1,1288,3475,3491,0.9016857147216797,1.0,7.311800003051758,5,8,40
2,3297,3208,3873,0.8571110367774963,1.0,6.999777317047119,5,7,35
3,2148,3208,3862,0.8571110367774963,1.0,6.999777317047119,5,7,35
4,2115,3116,3335,0.8568556904792786,1.0,6.997989654541016,5,7,35
5,3636,3335,3804,0.8568556904792786,1.0,6.997989654541016,5,7,35
6,2177,3335,4325,0.8568556904792786,1.0,6.997989654541016,5,7,35
7,3173,3335,3861,0.8568556904792786,1.0,6.997989654541016,5,7,35
8,2174,3335,3866,0.8568556904792786,1.0,6.997989654541016,5,7,35
9,1002,3100,3685,0.8538216352462769,1.0,6.976751327514648,5,7,35
10,4647,3100,4199,0.8538216352462769,1.0,6.976751327514648,5,7,35
11,1082,3100,4381,0.8538216352462769,1.0,6.976751327514648,5,7,35
12,999,3100,3684,0.8538216352462769,1.0,6.976751327514648,5,7,35
13,1069,3100,3698,0.8538216352462769,1.0,6.976751327514648,5,7,35
14,1001,3100,3771,0.8538216352462769,1.0,6.976751327514648,5,7,35
15,2930,3244,3300,0.8371781706809998,1.0,6.8602471351623535,5,7,35
16,5170,3300,4627,0.8371781706809998,1.0,6.8602471351623535,5,7,35
17,1009,3198,3771,0.8108381032943726,1.0,6.675866603851318,5,7,35
18,1048,3198,3693,0.8108381032943726,1.0,6.675866603851318,5,7,35
19,2864,3448,4503,0.8098985552787781,1.0,6.669290065765381,5,7,35
20,3724,3448,4271,0.8098985552787781,1.0,6.669290065765381,5,7,35
