rank,node_id,label,pred_label,S_i,S_i_norm,P_high
1,4636,0,8,7.651177883148193,0.950168251991272,0.9769158363342285
2,1983,0,8,7.466216087341309,0.9237451553344727,0.9524217247962952
3,2910,0,8,7.352033615112305,0.9074333906173706,0.9845564365386963
4,3475,8,8,7.311800003051758,0.9016857147216797,0.9051470756530762
5,2657,0,7,7.232178688049316,0.8903112411499023,0.9830021858215332
6,3721,8,8,7.068915367126465,0.8669878840446472,0.8549124598503113
7,2795,0,7,7.066980838775635,0.8667115569114685,0.9953926205635071
8,3367,0,7,6.999985694885254,0.857140839099884,0.9999995827674866
9,3208,7,7,6.999777317047119,0.8571110367774963,0.9999595880508423
10,3335,7,7,6.997989654541016,0.8568556904792786,0.999295175075531
11,3100,0,7,6.976751327514648,0.8538216352462769,0.9959432482719421
12,3300,7,7,6.8602471351623535,0.8371781706809998,0.9714181423187256
13,4058,8,8,6.824457168579102,0.8320652842521667,0.825995922088623
14,3250,0,7,6.776573181152344,0.825224757194519,0.9630916714668274
15,3410,7,7,6.735561370849609,0.819365918636322,0.9386759996414185
16,2412,0,8,6.676787853240967,0.8109697103500366,0.7539640665054321
17,3198,7,7,6.675866603851318,0.8108381032943726,0.9366986155509949
18,3448,7,7,6.669290065765381,0.8098985552787781,0.9121654033660889
19,3439,0,7,6.623768329620361,0.8033954501152039,0.8500785231590271
20,4091,7,7,6.561891555786133,0.7945559620857239,0.8961405158042908
