rank,node_id,label,pred_label,S_i,S_i_norm,P_high
1,4436,8,8,7.606191158294678,0.9437416195869446,0.9273778200149536
2,3484,0,8,7.511567115783691,0.9302238821983337,1.0
3,4988,0,8,7.314779281616211,0.9021113514900208,0.9273000955581665
4,2488,0,8,7.289008617401123,0.898429811000824,0.8872722387313843
5,2314,0,8,7.289008617401123,0.898429811000824,0.8872722387313843
6,5042,4,8,7.277318477630615,0.8967598080635071,0.9082626104354858
7,4315,8,8,7.173470497131348,0.8819243311882019,0.877051591873169
8,2163,0,7,7.104395866394043,0.8720565438270569,0.914589524269104
9,779,0,8,7.0575151443481445,0.8653593063354492,0.8903815746307373
10,2794,0,7,7.001800060272217,0.8574000000953674,0.9994970560073853
11,3593,0,7,6.999826908111572,0.8571181297302246,1.0
12,4813,1,7,6.992871284484863,0.8561244606971741,0.9048762917518616
13,4485,7,7,6.9862060546875,0.8551722764968872,0.996845006942749
14,3901,0,7,6.9804463386535645,0.8543494939804077,0.9985042810440063
15,89,0,7,6.97412633895874,0.8534466028213501,0.9790260195732117
16,3493,7,7,6.961218357086182,0.8516026139259338,0.9822540879249573
17,4312,1,8,6.937954902648926,0.8482792973518372,0.8589166402816772
18,3477,0,7,6.929751396179199,0.8471073508262634,0.9920860528945923
19,2407,0,7,6.841911315917969,0.8345587849617004,0.9041130542755127
20,1660,0,7,6.8408966064453125,0.8344138264656067,0.854365348815918
