rank,edge_id,src,dst,R_ij,w_norm,severity,P_level,C_level,RiskLevel
1,2115,3116,3335,0.8583828806877136,1.0,7.00868034362793,5,8,40
2,2177,3335,4325,0.8583828806877136,1.0,7.00868034362793,5,8,40
3,2174,3335,3866,0.8583828806877136,1.0,7.00868034362793,5,8,40
4,3636,3335,3804,0.8583828806877136,1.0,7.00868034362793,5,8,40
5,3173,3335,3861,0.8583828806877136,1.0,7.00868034362793,5,8,40
6,5170,3300,4627,0.8575553297996521,1.0,7.00288724899292,5,8,40
7,2930,3244,3300,0.8575553297996521,1.0,7.00288724899292,5,8,40
8,2148,3208,3862,0.8573871850967407,1.0,7.001710414886475,5,8,40
9,3297,3208,3873,0.8573871850967407,1.0,7.001710414886475,5,8,40
10,237,3487,3488,0.8573128581047058,1.0,7.001190185546875,5,8,40
11,1048,3198,3693,0.8552692532539368,1.0,6.986884593963623,5,7,35
12,1009,3198,3771,0.8552692532539368,1.0,6.986884593963623,5,7,35
13,1002,3100,3685,0.8533462882041931,1.0,6.973423957824707,5,7,35
14,1001,3100,3771,0.8533462882041931,1.0,6.973423957824707,5,7,35
15,1082,3100,4381,0.8533462882041931,1.0,6.973423957824707,5,7,35
16,1069,3100,3698,0.8533462882041931,1.0,6.973423957824707,5,7,35
17,4647,3100,4199,0.8533462882041931,1.0,6.973423957824707,5,7,35
18,999,3100,3684,0.8533462882041931,1.0,6.973423957824707,5,7,35
19,1288,3475,3491,0.8292427062988281,1.0,6.804698944091797,5,7,35
20,3724,3448,4271,0.7733505368232727,1.0,6.413453578948975,5,7,35
