rank,node_id,label,pred_label,S_i,S_i_norm,P_high
1,3593,0,7,6.69903039932251,0.8141471743583679,0.9260120391845703
2,3804,1,7,6.417271614074707,0.7738959193229675,0.8690716624259949
3,3777,7,7,6.408969879150391,0.7727099657058716,0.814749002456665
4,3477,0,7,6.375263214111328,0.7678947448730469,0.8257885575294495
5,3846,3,7,5.991925239562988,0.7131322026252747,0.7176065444946289
6,3637,8,8,5.861385345458984,0.6944836378097534,0.5971167683601379
7,4485,7,7,5.541287422180176,0.6487553715705872,0.624432384967804
8,3816,8,7,5.315603256225586,0.6165147423744202,0.5611886382102966
9,3901,0,7,5.267115116119385,0.6095878481864929,0.5644791126251221
10,3794,7,7,5.252778053283691,0.607539713382721,0.5314334034919739
11,4328,5,7,5.233010292053223,0.6047157645225525,0.49771296977996826
12,3756,6,7,5.217341423034668,0.6024773716926575,0.5209615230560303
13,3955,7,7,5.1947407722473145,0.5992487072944641,0.5163449645042419
14,4183,3,7,5.19141960144043,0.598774254322052,0.5011140704154968
15,3572,4,7,5.187032699584961,0.5981475114822388,0.5002472400665283
16,5157,7,7,5.182836532592773,0.5975480675697327,0.5490403771400452
17,4075,4,7,5.0189290046691895,0.5741327404975891,0.5149710178375244
18,3584,3,7,4.91846227645874,0.5597802996635437,0.4635150730609894
19,4330,7,7,4.887317180633545,0.5553310513496399,0.4717652201652527
20,3685,3,7,4.875287055969238,0.5536124110221863,0.4692806601524353
