rank,edge_id,src,dst,R_ij,w_norm,severity,P_level,C_level,RiskLevel
1,2177,3335,4325,0.8238357901573181,1.0,7.105499744415283,5,8,40
2,3636,3335,3804,0.8238357901573181,1.0,7.105499744415283,5,8,40
3,2115,3116,3335,0.8238357901573181,1.0,7.105499744415283,5,8,40
4,2174,3335,3866,0.8238357901573181,1.0,7.105499744415283,5,8,40
5,3173,3335,3861,0.8238357901573181,1.0,7.105499744415283,5,8,40
6,2148,3208,3862,0.7866327166557312,1.0,6.8475141525268555,5,7,35
7,3297,3208,3873,0.7866327166557312,1.0,6.8475141525268555,5,7,35
8,4232,3225,4086,0.7842541933059692,1.0,6.793951511383057,5,7,35
9,2930,3244,3300,0.72845458984375,1.0,6.351352691650391,5,7,35
10,5170,3300,4627,0.72845458984375,1.0,6.351352691650391,5,7,35
11,4647,3100,4199,0.7216875553131104,1.0,6.3310627937316895,5,7,35
12,1069,3100,3698,0.7216875553131104,1.0,6.3310627937316895,5,7,35
13,1082,3100,4381,0.7216875553131104,1.0,6.3310627937316895,5,7,35
14,1001,3100,3771,0.7216875553131104,1.0,6.3310627937316895,5,7,35
15,999,3100,3684,0.7216875553131104,1.0,6.3310627937316895,5,7,35
16,1002,3100,3685,0.7216875553131104,1.0,6.3310627937316895,5,7,35
17,36,3187,3189,0.7177455425262451,1.0,6.28097677230835,5,7,35
18,1288,3475,3491,0.7172663807868958,1.0,6.281055450439453,5,7,35
19,1237,3649,3727,0.7018734812736511,1.0,6.148374557495117,5,7,35
20,4605,3308,3341,0.6784822940826416,1.0,5.987412452697754,5,6,30
