edge_id,src,dst,w_raw,w_norm,severity,severity_norm_mean,severity_norm,R_ij,P_level,C_level,RiskLevel
0,3392,4348,0.0,0.009999999776482582,2.7360305786132812,0.24800436198711395,0.253585260813437,0.0025358525514536474,1,3,3
1,3391,4348,0.0,0.009999999776482582,1.711427927017212,0.10163255780935287,0.10362316144730158,0.0010362315913114344,1,2,2
2,3391,4255,0.0,0.009999999776482582,5.586974620819092,0.6552820801734924,0.6659624203497024,0.0066596240546428235,1,6,6
3,3391,3395,0.4999999701976776,0.5049999952316284,1.711427927017212,0.10163255780935287,0.10362316144730158,0.05232969603677356,5,2,10
4,3395,4255,0.4999999701976776,0.5049999952316284,5.586974620819092,0.6552820801734924,0.6659624203497024,0.33631101910104344,5,6,30
5,3398,4255,0.0,0.009999999776482582,5.586974620819092,0.6552820801734924,0.6659624203497024,0.0066596240546428235,1,6,6
6,3398,4348,0.0,0.009999999776482582,1.7362706661224365,0.10518152266740799,0.1071034473862959,0.001071034449923473,1,2,2
7,3399,4255,0.0,0.009999999776482582,5.586974620819092,0.6552820801734924,0.6659624203497024,0.0066596240546428235,1,6,6
8,3399,3401,0.0,0.009999999776482582,1.4407825469970703,0.06296893209218979,0.06426323706516444,0.0006426323562876916,1,2,2
9,3401,4246,0.4999999701976776,0.5049999952316284,2.1144587993621826,0.15920840203762054,0.1611560472759786,0.08138380310591728,5,3,15
10,0,4255,0.0,0.009999999776482582,5.586974620819092,0.6552820801734924,0.6659624203497024,0.0066596240546428235,1,6,6
11,0,1,0.0,0.009999999776482582,2.020700454711914,0.14581434428691864,0.14861825043706492,0.0014861824711518816,1,3,3
12,1,3401,0.0,0.009999999776482582,1.9510242938995361,0.1358606070280075,0.13876926982002447,0.0013876926671828958,1,2,2
13,3396,3401,0.0,0.009999999776482582,1.6459821462631226,0.09228316694498062,0.09392863545997393,0.0009392863336050532,1,2,2
14,2,4255,0.0,0.009999999776482582,5.586974620819092,0.6552820801734924,0.6659624203497024,0.0066596240546428235,1,6,6
15,2,3401,0.0,0.009999999776482582,1.4021928310394287,0.0574561171233654,0.05847554251600739,0.0005847554120897717,1,2,2
16,3,4246,0.0,0.009999999776482582,2.1144587993621826,0.15920840203762054,0.1611560472759786,0.0016115604367386025,1,3,3
17,3,4,0.0,0.009999999776482582,1.290498971939087,0.04149985313415527,0.04212683296161988,0.00042126832020011786,1,2,2
18,4,4246,0.0,0.009999999776482582,2.1144587993621826,0.15920840203762054,0.1611560472759786,0.0016115604367386025,1,3,3
19,3391,4246,0.0,0.009999999776482582,2.1144587993621826,0.15920840203762054,0.1611560472759786,0.0016115604367386025,1,3,3
20,3395,3396,0.0,0.009999999776482582,1.6459821462631226,0.09228316694498062,0.09392863545997393,0.0009392863336050532,1,2,2
21,5,4246,0.0,0.009999999776482582,2.1144587993621826,0.15920840203762054,0.1611560472759786,0.0016115604367386025,1,3,3
22,5,6,0.0,0.009999999776482582,1.2406892776489258,0.03438418358564377,0.034805043890244115,0.0003480504311229076,1,2,2
23,6,3394,0.0,0.009999999776482582,1.275735855102539,0.03939083591103554,0.03987790908222636,0.00039877908190885636,1,2,2
24,7,3394,0.0,0.009999999776482582,1.275735855102539,0.03939083591103554,0.03987790908222636,0.00039877908190885636,1,2,2
25,3390,4255,0.0,0.009999999776482582,5.586974620819092,0.6552820801734924,0.6659624203497024,0.0066596240546428235,1,6,6
26,3390,3395,0.0,0.009999999776482582,1.46122407913208,0.0658891573548317,0.06694291357115872,0.0006694291207486801,1,2,2
27,3188,3189,0.0,0.009999999776482582,2.7374660968780518,0.24820944666862488,0.24822454705918082,0.002482245415109298,1,3,3
28,8,3189,0.0,0.009999999776482582,1.5942844152450562,0.08489777147769928,0.08682001180279576,0.0008682000986221728,1,2,2
29,8,3397,0.0,0.009999999776482582,1.6704070568084717,0.09577243775129318,0.09703828664935567,0.0009703828448038094,1,2,2
30,3188,3405,0.0,0.009999999776482582,2.7374660968780518,0.24820944666862488,0.24822454705918082,0.002482245415109298,1,3,3
31,3405,3406,1.0,1.0,1.2350865602493286,0.03358379378914833,0.033585802138119306,0.033585802138119306,5,2,10
32,3375,3406,0.0,0.009999999776482582,1.1405776739120483,0.020082524046301842,0.020082524051808003,0.0002008252360292861,1,2,2
33,9,3188,0.0,0.009999999776482582,2.7374660968780518,0.24820944666862488,0.24822454705918082,0.002482245415109298,1,3,3
34,9,3404,0.0,0.009999999776482582,1.3993792533874512,0.05705418065190315,0.05790227156965128,0.0005790227027543466,1,2,2
35,3404,3407,0.4999999701976776,0.5049999952316284,2.5612735748291016,0.22303907573223114,0.22734695124774446,0.1148102092960362,5,3,15
36,3187,3189,1.0,1.0,4.495771408081055,0.4993959069252014,0.5060472084097699,0.5060472084097699,5,5,25
37,10,3189,0.0,0.009999999776482582,1.1838308572769165,0.026261551305651665,0.026497630719038705,0.00026497630126770506,1,2,2
38,10,3397,0.0,0.009999999776482582,1.6704070568084717,0.09577243775129318,0.09703828664935567,0.0009703828448038094,1,2,2
39,11,3187,0.0,0.009999999776482582,4.495771408081055,0.4993959069252014,0.5060472084097699,0.0050604719709873335,1,5,5
40,11,12,0.0,0.009999999776482582,1.528608798980713,0.07551554590463638,0.07652483455623132,0.0007652483284576798,1,2,2
