rank,node_id,label,pred_label,S_i,S_i_norm,S_i_rc_norm,P_high
1,3421,5,8,7.346686363220215,0.9066694974899292,0.9092073038685279,0.9063869118690491
2,2795,0,7,7.289024829864502,0.8984321355819702,0.9014202918493041,0.9806764125823975
3,3335,7,7,7.162745952606201,0.8803922533988953,0.8839310502283009,0.9862228631973267
4,3300,7,7,7.053378582000732,0.864768385887146,0.8687955574614492,0.9926602840423584
5,3367,0,7,7.042763710021973,0.8632519841194153,0.8673349399049924,0.9952504634857178
6,4091,7,7,7.012668132781982,0.8589525818824768,0.8630462540633826,0.9674458503723145
7,3208,7,7,6.977870464324951,0.8539814949035645,0.8582835452105576,0.9820787906646729
8,3448,7,7,6.931868076324463,0.847409725189209,0.8517361033786528,0.9450969696044922
9,3100,0,7,6.9073028564453125,0.8439003825187683,0.8484045720590246,0.9618194699287415
10,3475,8,8,6.885375022888184,0.8407678604125977,0.844918003398875,0.8687825202941895
11,3410,7,7,6.811501502990723,0.8302145004272461,0.8349043300656888,0.9207361936569214
12,3487,8,7,6.81234073638916,0.8303343653678894,0.8347734535529314,0.8721247911453247
13,3198,7,7,6.801941394805908,0.8288487792015076,0.8335648811145772,0.918505847454071
14,3721,8,8,6.77084493637085,0.8244064450263977,0.8288792372597308,0.8490805625915527
15,3250,0,7,6.72506856918335,0.8178669214248657,0.8229400849153766,0.9284719228744507
16,3439,0,7,6.726156711578369,0.8180223703384399,0.8227678499965607,0.8692423105239868
17,3901,7,7,6.641707420349121,0.8059582114219666,0.8109937378033487,0.8650243878364563
18,4357,7,7,6.536805152893066,0.7909721732139587,0.7963088409597916,0.8510298728942871
19,3117,5,8,6.527325630187988,0.7896179556846619,0.7944189179614849,0.7606736421585083
20,3772,8,8,6.412435531616211,0.7732051014900208,0.7785931662982548,0.7919144630432129
