rank,node_id,label,pred_label,S_i,S_i_norm,S_i_rc_norm,P_high
1,2795,0,7,7.106542587280273,0.8723632097244263,0.9021523035881742,0.9335582256317139
2,3367,0,7,7.040913105010986,0.8629875779151917,0.8969262008156864,0.9908188581466675
3,3300,7,7,7.011282920837402,0.8587546944618225,0.8936832482182027,0.9891600608825684
4,3335,7,7,6.996527671813965,0.8566468358039856,0.8912008500200743,0.964164674282074
5,3208,7,7,6.818687915802002,0.8312411308288574,0.8707797676300402,0.9371628761291504
6,3448,7,7,6.813483715057373,0.830497682094574,0.8688026820188135,0.9039404392242432
7,3100,0,7,6.7116851806640625,0.8159550428390503,0.8573228762340168,0.8990810513496399
8,3410,7,7,6.671797752380371,0.810256838798523,0.8520756840715791,0.8815884590148926
9,3439,0,7,6.631896018981934,0.8045565485954285,0.845441465368781,0.8367620706558228
10,3198,7,7,6.572842597961426,0.7961203455924988,0.83924924488357,0.8461638689041138
11,4091,7,7,6.542006015777588,0.791715145111084,0.8354341313303806,0.8395999073982239
12,2149,0,7,6.5455427169799805,0.792220413684845,0.83533171705212,0.8299430012702942
13,3721,8,8,6.534717082977295,0.7906738519668579,0.8329143316366086,0.8071706295013428
14,1317,0,7,6.520292282104492,0.7886132001876831,0.8326279339155889,0.8328757286071777
15,3901,7,7,6.414820671081543,0.7735458016395569,0.8187968270809112,0.7992967367172241
16,3250,0,7,6.341525554656982,0.763075053691864,0.8110874517316855,0.810592532157898
17,3475,8,7,6.291384696960449,0.7559121251106262,0.802810430572686,0.7685478925704956
18,1099,0,7,6.2540483474731445,0.7505783438682556,0.7993029514291372,0.7814013957977295
19,3299,1,7,6.235538482666016,0.7479340434074402,0.7963694176074867,0.7686142921447754
20,3138,7,7,6.221417427062988,0.7459167838096619,0.7948577538284161,0.7704715132713318
