rank,edge_id,src,dst,R_ij,w_norm,severity,P_level,C_level,RiskLevel
1,2177,3335,4325,0.8257870078086853,1.0,6.780508995056152,5,7,35
2,2174,3335,3866,0.8257870078086853,1.0,6.780508995056152,5,7,35
3,2115,3116,3335,0.8257870078086853,1.0,6.780508995056152,5,7,35
4,3636,3335,3804,0.8257870078086853,1.0,6.780508995056152,5,7,35
5,3173,3335,3861,0.8257870078086853,1.0,6.780508995056152,5,7,35
6,2148,3208,3862,0.8159533739089966,1.0,6.711673736572266,5,7,35
7,3297,3208,3873,0.8159533739089966,1.0,6.711673736572266,5,7,35
8,1288,3475,3491,0.7598910331726074,1.0,6.319237232208252,5,7,35
9,5170,3300,4627,0.7283693552017212,1.0,6.098585605621338,5,7,35
10,2930,3244,3300,0.7283693552017212,1.0,6.098585605621338,5,7,35
11,4232,3225,4086,0.7184868454933167,1.0,6.029407978057861,5,7,35
12,1001,3100,3771,0.718453049659729,1.0,6.029171466827393,5,7,35
13,1002,3100,3685,0.718453049659729,1.0,6.029171466827393,5,7,35
14,999,3100,3684,0.718453049659729,1.0,6.029171466827393,5,7,35
15,1069,3100,3698,0.718453049659729,1.0,6.029171466827393,5,7,35
16,4647,3100,4199,0.718453049659729,1.0,6.029171466827393,5,7,35
17,1082,3100,4381,0.718453049659729,1.0,6.029171466827393,5,7,35
18,2080,3143,3252,0.7008878588676453,1.0,5.906215190887451,5,6,30
19,2078,3252,3958,0.7008878588676453,1.0,5.906215190887451,5,6,30
20,4347,4357,4589,0.676519513130188,1.0,5.7356367111206055,5,6,30
