rank,node_id,label,pred_label,S_i,S_i_norm,P_high
1,3335,7,7,6.780508995056152,0.8257870078086853,0.9113317728042603
2,3367,0,7,6.727880477905273,0.8182686567306519,0.92780601978302
3,3208,7,7,6.711673736572266,0.8159533739089966,0.9039618968963623
4,3475,8,7,6.319237232208252,0.7598910331726074,0.7763386964797974
5,3410,7,7,6.247143745422363,0.7495919466018677,0.7733194828033447
6,3250,0,7,6.238340377807617,0.7483343482017517,0.8113926649093628
7,3300,7,7,6.098585605621338,0.7283693552017212,0.7405204772949219
8,3421,5,8,6.091248512268066,0.727321207523346,0.7109858393669128
9,3225,3,7,6.029407978057861,0.7184868454933167,0.7265758514404297
10,3100,0,7,6.029171466827393,0.718453049659729,0.731454610824585
11,3252,0,7,5.906215190887451,0.7008878588676453,0.6939767003059387
12,3848,3,7,5.841405391693115,0.6916293501853943,0.667661190032959
13,4091,7,6,5.812077045440674,0.6874395608901978,0.7016744017601013
14,3439,0,7,5.7769856452941895,0.6824265122413635,0.656190037727356
15,4357,7,7,5.7356367111206055,0.676519513130188,0.6545092463493347
16,3299,1,7,5.714700698852539,0.6735286712646484,0.6422519683837891
17,3901,7,7,5.713922500610352,0.6734175086021423,0.6508224606513977
18,3332,1,7,5.683577537536621,0.669082522392273,0.6437035202980042
19,3308,0,7,5.611175537109375,0.6587393879890442,0.619164764881134
20,4132,6,7,5.534884929656982,0.647840678691864,0.607018768787384
