rank,node_id,label,pred_label,S_i,S_i_norm,P_high
1,3593,0,7,6.894942283630371,0.8421345949172974,0.9876470565795898
2,3777,7,7,6.856226921081543,0.8366038203239441,0.9209532737731934
3,3477,0,7,6.746482849121094,0.8209261298179626,0.9041167497634888
4,3901,0,7,6.686534881591797,0.8123621344566345,0.9185358881950378
5,3637,8,8,6.3063459396362305,0.7580494284629822,0.758520245552063
6,4485,7,7,6.200953006744385,0.7429932951927185,0.7599908709526062
7,3846,3,7,6.141944885253906,0.7345635294914246,0.7586297988891602
8,3701,0,7,5.953560829162598,0.7076515555381775,0.6932215690612793
9,3955,7,7,5.9312520027160645,0.7044645547866821,0.6820856332778931
10,5157,7,7,5.91717529296875,0.70245361328125,0.708011269569397
11,4370,6,8,5.908505439758301,0.7012150883674622,0.6776038408279419
12,3721,1,7,5.896853446960449,0.6995505094528198,0.6865315437316895
13,4183,3,7,5.892983436584473,0.6989976167678833,0.666626513004303
14,3816,8,7,5.884721755981445,0.6978173851966858,0.6781595945358276
15,4394,0,7,5.752683639526367,0.6789547801017761,0.6498170495033264
16,4379,8,8,5.6009345054626465,0.6572763323783875,0.637955367565155
17,3584,3,7,5.552321910858154,0.6503316760063171,0.6052663326263428
18,3651,7,8,5.528924465179443,0.6469892263412476,0.6169872283935547
19,3507,6,7,5.456544399261475,0.6366491913795471,0.6197660565376282
20,4315,8,8,5.422619342803955,0.6318027377128601,0.5778630375862122
