rank,edge_id,src,dst,R_ij,w_norm,severity,P_level,C_level,RiskLevel
1,2373,3477,4202,0.9999998807907104,0.9999998807907104,6.943661689758301,5,7,35
2,6058,3777,4260,0.9999998807907104,0.9999998807907104,6.783926010131836,5,7,35
3,6056,3777,4238,0.9999998807907104,0.9999998807907104,6.783926010131836,5,7,35
4,837,3739,3777,0.9999998807907104,0.9999998807907104,6.783926010131836,5,7,35
5,4170,4485,4620,0.9999998807907104,0.9999998807907104,6.782683849334717,5,7,35
6,4165,4485,5102,0.9999998807907104,0.9999998807907104,6.782683849334717,5,7,35
7,451,3477,3873,0.9999998807907104,0.9999998807907104,6.943661689758301,5,7,35
8,1040,3777,4886,0.9999998807907104,0.9999998807907104,6.783926010131836,5,7,35
9,372,3477,3862,0.9999998807907104,0.9999998807907104,6.943661689758301,5,7,35
10,3070,3721,5029,0.9493807554244995,0.9999998807907104,5.895666122436523,5,6,30
11,5483,3816,3870,0.9329065084457397,0.9999998807907104,5.780346393585205,5,6,30
12,5725,3816,5188,0.9329065084457397,0.9999998807907104,5.780346393585205,5,6,30
13,1647,3816,4213,0.9329065084457397,0.9999998807907104,5.780346393585205,5,6,30
14,1657,3816,4057,0.9329065084457397,0.9999998807907104,5.780346393585205,5,6,30
15,4998,3816,5160,0.9329065084457397,0.9999998807907104,5.780346393585205,5,6,30
16,1822,3816,4211,0.9329065084457397,0.9999998807907104,5.780346393585205,5,6,30
17,3077,3794,4699,0.8726722002029419,0.9999998807907104,5.358706474304199,5,6,30
18,3079,3794,4113,0.8726722002029419,0.9999998807907104,5.358706474304199,5,6,30
19,3080,3794,4369,0.8726722002029419,0.9999998807907104,5.358706474304199,5,6,30
20,4246,3584,5118,0.8715707063674927,0.9999998807907104,5.350996017456055,5,6,30
