rank,edge_id,src,dst,R_ij,w_norm,severity,P_level,C_level,RiskLevel
1,372,3477,3862,0.9999998807907104,0.9999998807907104,6.881937026977539,5,7,35
2,2373,3477,4202,0.9999998807907104,0.9999998807907104,6.881937026977539,5,7,35
3,451,3477,3873,0.9999998807907104,0.9999998807907104,6.881937026977539,5,7,35
4,4165,4485,5102,0.9999998807907104,0.9999998807907104,6.654662609100342,5,7,35
5,4170,4485,4620,0.9999998807907104,0.9999998807907104,6.654662609100342,5,7,35
6,837,3739,3777,0.9999998807907104,0.9999998807907104,6.728895664215088,5,7,35
7,1040,3777,4886,0.9999998807907104,0.9999998807907104,6.728895664215088,5,7,35
8,6056,3777,4238,0.9999998807907104,0.9999998807907104,6.728895664215088,5,7,35
9,6058,3777,4260,0.9999998807907104,0.9999998807907104,6.728895664215088,5,7,35
10,3079,3794,4113,0.9179575443267822,0.9999998807907104,6.365533351898193,5,7,35
11,3080,3794,4369,0.9179575443267822,0.9999998807907104,6.365533351898193,5,7,35
12,3077,3794,4699,0.9179575443267822,0.9999998807907104,6.365533351898193,5,7,35
13,4384,3584,4426,0.8678791522979736,0.9999998807907104,5.325154781341553,5,6,30
14,2904,3584,4613,0.8678791522979736,0.9999998807907104,5.325154781341553,5,6,30
15,4246,3584,5118,0.8678791522979736,0.9999998807907104,5.325154781341553,5,6,30
16,5487,3584,4470,0.8678791522979736,0.9999998807907104,5.325154781341553,5,6,30
17,6602,3584,5220,0.8678791522979736,0.9999998807907104,5.325154781341553,5,6,30
18,2111,3651,4815,0.8636682629585266,0.9999998807907104,5.568480491638184,5,6,30
19,2115,3651,4265,0.8636682629585266,0.9999998807907104,5.568480491638184,5,6,30
20,2124,3651,4687,0.8636682629585266,0.9999998807907104,5.568480491638184,5,6,30
