edge_id,src,dst,w_raw,w_norm,severity,severity_norm_mean,severity_norm,R_ij,P_level,C_level,RiskLevel
0,3494,3574,0.0,0.009999999776482582,2.3071773052215576,0.18673960864543915,0.18673960864543915,0.0018673960585147142,1,3,3
1,0,3494,0.0,0.009999999776482582,1.909047245979309,0.1298638880252838,0.1298638880252838,0.0012986388755962253,1,2,2
2,0,3780,0.0,0.009999999776482582,3.829148292541504,0.40416404604911804,0.40416404604911804,0.004041640553623438,1,4,4
3,1,3780,0.0,0.009999999776482582,3.829148292541504,0.40416404604911804,0.40416404604911804,0.004041640553623438,1,4,4
4,1,3494,0.0,0.009999999776482582,1.7979439496994019,0.11399199068546295,0.11399199068546295,0.001139919855631888,1,2,2
5,3494,3780,0.9999998807907104,0.9999998807907104,3.829148292541504,0.40416404604911804,0.40416404604911804,0.40416398644447327,5,4,20
6,2,3573,0.0,0.009999999776482582,2.0699586868286133,0.15285123884677887,0.15285123884677887,0.001528512337245047,1,3,3
7,2,3494,0.0,0.009999999776482582,1.3304201364517212,0.04720287770032883,0.04720287770032883,0.00047202876885421574,1,2,2
8,3,4,0.0,0.009999999776482582,1.9483025074005127,0.13547179102897644,0.13547179102897644,0.0013547178823500872,1,2,2
9,4,5,0.0,0.009999999776482582,1.9483025074005127,0.13547179102897644,0.13547179102897644,0.0013547178823500872,1,2,2
10,5,6,0.0,0.009999999776482582,1.3807235956192017,0.05438908562064171,0.05438908562064171,0.0005438908701762557,1,2,2
11,7,3780,0.0,0.009999999776482582,3.829148292541504,0.40416404604911804,0.40416404604911804,0.004041640553623438,1,4,4
12,7,3494,0.0,0.009999999776482582,2.797640085220337,0.2568057179450989,0.2568057179450989,0.0025680570397526026,1,3,3
13,8,3497,0.0,0.009999999776482582,1.0936826467514038,0.013383234851062298,0.013383234851062298,0.0001338323490926996,1,2,2
14,8,9,0.0,0.009999999776482582,1.0364046096801758,0.005200658459216356,0.005200658459216356,5.2006584155606106e-05,1,2,2
15,9,10,0.0,0.009999999776482582,1.1680604219436646,0.024008631706237793,0.024008631706237793,0.0002400863158982247,1,2,2
16,10,3497,0.0,0.009999999776482582,1.1680604219436646,0.024008631706237793,0.024008631706237793,0.0002400863158982247,1,2,2
17,11,3782,0.0,0.009999999776482582,1.5250513553619385,0.07500733435153961,0.07500733435153961,0.000750073348172009,1,2,2
18,11,12,0.0,0.009999999776482582,1.5250513553619385,0.07500733435153961,0.07500733435153961,0.000750073348172009,1,2,2
19,12,13,0.0,0.009999999776482582,1.0895090103149414,0.012787001207470894,0.012787001207470894,0.00012787000741809607,1,2,2
20,13,14,0.0,0.009999999776482582,1.1410020589828491,0.02014315128326416,0.02014315128326416,0.00020143151050433517,1,2,2
21,14,15,0.0,0.009999999776482582,1.1410020589828491,0.02014315128326416,0.02014315128326416,0.00020143151050433517,1,2,2
22,16,17,0.0,0.009999999776482582,1.4958343505859375,0.0708334818482399,0.0708334818482399,0.0007083347882144153,1,2,2
23,17,3181,0.0,0.009999999776482582,1.1837958097457886,0.026256544515490532,0.026256544515490532,0.0002625654451549053,1,2,2
24,18,3181,0.0,0.009999999776482582,1.562921404838562,0.08041734248399734,0.08041734248399734,0.0008041734108701348,1,2,2
25,19,3181,0.0,0.009999999776482582,1.1837958097457886,0.026256544515490532,0.026256544515490532,0.0002625654451549053,1,2,2
26,19,20,0.0,0.009999999776482582,1.0375128984451294,0.005358985625207424,0.005358985625207424,5.358985436032526e-05,1,2,2
27,20,3784,0.0,0.009999999776482582,1.019961953163147,0.0028517076279968023,0.0028517076279968023,2.851707540685311e-05,1,2,2
28,21,3784,0.0,0.009999999776482582,1.0716441869735718,0.010234883986413479,0.010234883986413479,0.00010234883666271344,1,2,2
29,21,22,0.0,0.009999999776482582,1.0888832807540894,0.012697611935436726,0.012697611935436726,0.00012697611236944795,1,2,2
30,22,23,0.0,0.009999999776482582,1.0888832807540894,0.012697611935436726,0.012697611935436726,0.00012697611236944795,1,2,2
31,24,25,0.0,0.009999999776482582,1.0117415189743042,0.0016773598035797477,0.0016773598035797477,1.67735979630379e-05,1,2,2
32,25,26,0.0,0.009999999776482582,1.0400513410568237,0.005721620284020901,0.005721620284020901,5.72162025491707e-05,1,2,2
33,26,3497,0.0,0.009999999776482582,1.0936826467514038,0.013383234851062298,0.013383234851062298,0.0001338323490926996,1,2,2
34,4838,4839,0.9999998807907104,0.9999998807907104,1.4783304929733276,0.06833292543888092,0.06833292543888092,0.06833291798830032,5,2,10
35,3785,4838,0.0,0.009999999776482582,1.4783304929733276,0.06833292543888092,0.06833292543888092,0.000683329242747277,1,2,2
36,3785,4839,0.0,0.009999999776482582,1.2943942546844482,0.04205632209777832,0.04205632209777832,0.0004205632139928639,1,2,2
37,3495,4839,0.5,0.5049999952316284,1.3067991733551025,0.04382845386862755,0.04382845386862755,0.022133368998765945,5,2,10
38,4838,4840,0.5,0.5049999952316284,1.4783304929733276,0.06833292543888092,0.06833292543888092,0.034508127719163895,5,2,10
39,4839,4840,0.0,0.009999999776482582,1.2943942546844482,0.04205632209777832,0.04205632209777832,0.0004205632139928639,1,2,2
40,27,4839,0.0,0.009999999776482582,1.2943942546844482,0.04205632209777832,0.04205632209777832,0.0004205632139928639,1,2,2
41,27,4838,0.0,0.009999999776482582,1.4783304929733276,0.06833292543888092,0.06833292543888092,0.000683329242747277,1,2,2
42,28,3787,0.0,0.009999999776482582,1.486719012260437,0.06953128427267075,0.06953128427267075,0.000695312803145498,1,2,2
43,3182,3787,0.5,0.5049999952316284,1.486719012260437,0.06953128427267075,0.06953128427267075,0.035113297402858734,5,2,10
44,29,3790,0.0,0.009999999776482582,1.5495820045471191,0.07851171493530273,0.07851171493530273,0.0007851171540096402,1,2,2
45,29,30,0.0,0.009999999776482582,1.3454750776290894,0.04935358092188835,0.04935358092188835,0.0004935357719659805,1,2,2
46,30,3789,0.0,0.009999999776482582,1.233705759048462,0.033386535942554474,0.033386535942554474,0.00033386534778401256,1,2,2
47,31,3787,0.0,0.009999999776482582,1.486719012260437,0.06953128427267075,0.06953128427267075,0.000695312803145498,1,2,2
48,32,3787,0.0,0.009999999776482582,1.5992072820663452,0.08560103923082352,0.08560103923082352,0.0008560103597119451,1,2,2
49,32,3497,0.0,0.009999999776482582,1.5992072820663452,0.08560103923082352,0.08560103923082352,0.0008560103597119451,1,2,2
50,33,3497,0.0,0.009999999776482582,1.0936826467514038,0.013383234851062298,0.013383234851062298,0.0001338323490926996,1,2,2
51,33,34,0.0,0.009999999776482582,1.0523754358291626,0.007482205051928759,0.007482205051928759,7.482204819098115e-05,1,2,2
52,34,3788,0.0,0.009999999776482582,2.7086315155029297,0.2440902143716812,0.2440902143716812,0.0024409021716564894,1,3,3
53,3478,4573,0.0,0.009999999776482582,2.6737442016601562,0.23910631239414215,0.23910631239414215,0.002391063142567873,1,3,3
54,35,3497,0.0,0.009999999776482582,1.0936826467514038,0.013383234851062298,0.013383234851062298,0.0001338323490926996,1,2,2
55,35,36,0.0,0.009999999776482582,1.0713658332824707,0.010195119306445122,0.010195119306445122,0.00010195119102718309,1,2,2
56,36,3497,0.0,0.009999999776482582,1.0936826467514038,0.013383234851062298,0.013383234851062298,0.0001338323490926996,1,2,2
57,37,3576,0.0,0.009999999776482582,1.0364835262298584,0.005211932118982077,0.005211932118982077,5.211932148085907e-05,1,2,2
58,37,3784,0.0,0.009999999776482582,1.0104514360427856,0.0014930622419342399,0.0014930622419342399,1.4930622455722187e-05,1,2,2
59,3576,3784,0.0,0.009999999776482582,1.0364835262298584,0.005211932118982077,0.005211932118982077,5.211932148085907e-05,1,2,2
60,38,3496,0.0,0.009999999776482582,1.233153223991394,0.03330760449171066,0.03330760449171066,0.00033307605190202594,1,2,2
