rank,node_id,label,pred_label,S_i,S_i_norm,P_high
1,3335,7,7,6.987915992736816,0.8554165959358215,0.9538785815238953
2,3208,7,7,6.850717544555664,0.8358168005943298,0.9361402988433838
3,3225,3,7,6.780467510223389,0.8257810473442078,0.8809934854507446
4,3367,0,7,6.756619930267334,0.8223742842674255,0.925430178642273
5,3475,8,7,6.610626697540283,0.8015180826187134,0.8291925191879272
6,3421,5,8,6.579710960388184,0.7971015572547913,0.7780447602272034
7,3300,7,7,6.5622029304504395,0.7946004271507263,0.8692708015441895
8,3250,0,7,6.546902656555176,0.792414665222168,0.8763841390609741
9,3848,3,7,6.41146183013916,0.773065984249115,0.8192315101623535
10,3410,7,7,6.347414016723633,0.7639163136482239,0.8094931840896606
11,4091,7,7,6.232481479644775,0.7474973797798157,0.7695643901824951
12,3100,0,7,6.227975845336914,0.7468537092208862,0.7829284071922302
13,3332,1,7,6.002335548400879,0.7146193385124207,0.715324878692627
14,4357,7,7,5.968364715576172,0.7097663879394531,0.7022557258605957
15,3439,0,7,5.948683738708496,0.706954836845398,0.6924123764038086
16,3448,7,7,5.847453594207764,0.6924933791160583,0.6673731803894043
17,3252,0,7,5.822183609008789,0.688883364200592,0.6840915083885193
18,3308,0,7,5.788267135620117,0.6840381622314453,0.6822056174278259
19,3901,7,7,5.774479866027832,0.6820685267448425,0.6692683100700378
20,3117,5,7,5.705638408660889,0.672234058380127,0.6404262781143188
