edge_id,src,dst,w_raw,w_norm,severity,severity_norm_mean,severity_norm,R_ij,P_level,C_level,RiskLevel
0,3494,3574,0.0,0.009999999776482582,2.355757713317871,0.19367967545986176,0.44367969036102295,0.004436796996742487,1,3,3
1,0,3494,0.0,0.009999999776482582,1.4853925704956055,0.06934179365634918,0.16442787647247314,0.0016442787600681186,1,2,2
2,0,3780,0.0,0.009999999776482582,2.9529314041137695,0.2789902091026306,0.4398217797279358,0.004398217890411615,1,3,3
3,1,3780,0.0,0.009999999776482582,2.9529314041137695,0.2789902091026306,0.4398217797279358,0.004398217890411615,1,3,3
4,1,3494,0.0,0.009999999776482582,1.7734534740447998,0.11049335449934006,0.19308871030807495,0.0019308871123939753,1,2,2
5,3494,3780,0.9999998807907104,0.9999998807907104,2.9529314041137695,0.2789902091026306,0.4398217797279358,0.439821720123291,5,3,15
6,2,3573,0.0,0.009999999776482582,3.2689144611358643,0.3241306245326996,0.4377133250236511,0.004377133212983608,1,4,4
7,2,3494,0.0,0.009999999776482582,1.8034069538116455,0.11477242410182953,0.18228983879089355,0.0018228983972221613,1,2,2
8,3,4,0.0,0.009999999776482582,1.6987303495407104,0.0998186245560646,0.31164804100990295,0.0031164803076535463,1,2,2
9,4,5,0.0,0.009999999776482582,1.6987303495407104,0.0998186245560646,0.21153610944747925,0.0021153611596673727,1,2,2
10,5,6,0.0,0.009999999776482582,1.9228180646896362,0.13183115422725677,0.31801238656044006,0.0031801238656044006,1,2,2
11,7,3780,0.0,0.009999999776482582,2.9529314041137695,0.2789902091026306,0.4398217797279358,0.004398217890411615,1,3,3
12,7,3494,0.0,0.009999999776482582,1.861283779144287,0.12304054200649261,0.1975904405117035,0.0019759044516831636,1,2,2
13,8,3497,0.0,0.009999999776482582,1.7805776596069336,0.11151109635829926,0.3294749855995178,0.0032947498839348555,1,2,2
14,8,9,0.0,0.009999999776482582,1.3390878438949585,0.048441119492053986,0.25013214349746704,0.002501321490854025,1,2,2
15,9,10,0.0,0.009999999776482582,1.9406578540802002,0.13437969982624054,0.22331175208091736,0.002233117586001754,1,2,2
16,10,3497,0.0,0.009999999776482582,1.9406578540802002,0.13437969982624054,0.3294749855995178,0.0032947498839348555,1,2,2
17,11,3782,0.0,0.009999999776482582,1.2563145160675049,0.036616358906030655,0.28661635518074036,0.00286616338416934,1,2,2
18,11,12,0.0,0.009999999776482582,1.2563145160675049,0.036616358906030655,0.28661635518074036,0.00286616338416934,1,2,2
19,12,13,0.0,0.009999999776482582,1.1195697784423828,0.017081396654248238,0.19145707786083221,0.0019145706901326776,1,2,2
20,13,14,0.0,0.009999999776482582,1.5076417922973633,0.07252025604248047,0.2028307020664215,0.002028306946158409,1,2,2
21,14,15,0.0,0.009999999776482582,1.5076417922973633,0.07252025604248047,0.2028307020664215,0.002028306946158409,1,2,2
22,16,17,0.0,0.009999999776482582,1.6301661729812622,0.09002374112606049,0.2629128396511078,0.002629128284752369,1,2,2
23,17,3181,0.0,0.009999999776482582,1.6301661729812622,0.09002374112606049,0.2785012722015381,0.0027850125916302204,1,2,2
24,18,3181,0.0,0.009999999776482582,1.6225581169128418,0.08893687278032303,0.2785012722015381,0.0027850125916302204,1,2,2
25,19,3181,0.0,0.009999999776482582,1.2079380750656128,0.029705438762903214,0.2785012722015381,0.0027850125916302204,1,2,2
26,19,20,0.0,0.009999999776482582,1.0947176218032837,0.013531088829040527,0.2531345784664154,0.0025313457008451223,1,2,2
27,20,3784,0.0,0.009999999776482582,1.021942138671875,0.0031345912721008062,0.2531345784664154,0.0025313457008451223,1,2,2
28,21,3784,0.0,0.009999999776482582,1.0513041019439697,0.007329157553613186,0.2518600523471832,0.0025186005514115095,1,2,2
29,21,22,0.0,0.009999999776482582,1.205750823020935,0.029392974451184273,0.2793929874897003,0.00279392977245152,1,2,2
30,22,23,0.0,0.009999999776482582,1.273743987083435,0.03910628333687782,0.2793929874897003,0.00279392977245152,1,2,2
31,24,25,0.0,0.009999999776482582,1.0261297225952148,0.0037328174803406,0.25073882937431335,0.00250738812610507,1,2,2
32,25,26,0.0,0.009999999776482582,1.0987355709075928,0.014105081558227539,0.23435087502002716,0.0023435086477547884,1,2,2
33,26,3497,0.0,0.009999999776482582,1.7805776596069336,0.11151109635829926,0.3294749855995178,0.0032947498839348555,1,2,2
34,4838,4839,0.9999998807907104,0.9999998807907104,1.8567309379577637,0.12239013612270355,0.24576660990715027,0.24576658010482788,5,2,10
35,3785,4838,0.0,0.009999999776482582,1.8567309379577637,0.12239013612270355,0.236802339553833,0.0023680233862251043,1,2,2
36,3785,4839,0.0,0.009999999776482582,1.800813913345337,0.11440198868513107,0.24576660990715027,0.002457665977999568,1,2,2
37,3495,4839,0.5,0.5049999952316284,2.1327388286590576,0.16181983053684235,0.28275546431541443,0.1427915096282959,5,3,15
38,4838,4840,0.5,0.5049999952316284,1.8567309379577637,0.12239013612270355,0.236802339553833,0.11958517879247665,5,2,10
39,4839,4840,0.0,0.009999999776482582,1.800813913345337,0.11440198868513107,0.24576660990715027,0.002457665977999568,1,2,2
40,27,4839,0.0,0.009999999776482582,1.800813913345337,0.11440198868513107,0.24576660990715027,0.002457665977999568,1,2,2
41,27,4838,0.0,0.009999999776482582,1.8567309379577637,0.12239013612270355,0.236802339553833,0.0023680233862251043,1,2,2
42,28,3787,0.0,0.009999999776482582,1.872235894203186,0.12460512667894363,0.2294001579284668,0.0022940016351640224,1,2,2
43,3182,3787,0.5,0.5049999952316284,1.872235894203186,0.12460512667894363,0.22276988625526428,0.11249879002571106,5,2,10
44,29,3790,0.0,0.009999999776482582,2.4898009300231934,0.21282871067523956,0.31591862440109253,0.003159186104312539,1,3,3
45,29,30,0.0,0.009999999776482582,2.4898009300231934,0.21282871067523956,0.31591862440109253,0.003159186104312539,1,3,3
46,30,3789,0.0,0.009999999776482582,1.7712337970733643,0.11017625778913498,0.2661232650279999,0.00266123260371387,1,2,2
47,31,3787,0.0,0.009999999776482582,2.202650308609009,0.1718071848154068,0.3266558051109314,0.003266558051109314,1,3,3
48,32,3787,0.0,0.009999999776482582,1.872235894203186,0.12460512667894363,0.22276988625526428,0.0022276989184319973,1,2,2
49,32,3497,0.0,0.009999999776482582,1.7805776596069336,0.11151109635829926,0.3294749855995178,0.0032947498839348555,1,2,2
50,33,3497,0.0,0.009999999776482582,1.7805776596069336,0.11151109635829926,0.3294749855995178,0.0032947498839348555,1,2,2
51,33,34,0.0,0.009999999776482582,1.237067699432373,0.03386681526899338,0.2519725263118744,0.0025197251234203577,1,2,2
52,34,3788,0.0,0.009999999776482582,3.6971869468688965,0.38531240820884705,0.541594922542572,0.005415949039161205,1,4,4
53,3478,4573,0.0,0.009999999776482582,2.4420390129089355,0.20600557327270508,0.35103148221969604,0.0035103147383779287,1,3,3
54,35,3497,0.0,0.009999999776482582,1.7805776596069336,0.11151109635829926,0.3294749855995178,0.0032947498839348555,1,2,2
55,35,36,0.0,0.009999999776482582,1.1714352369308472,0.02449074760079384,0.1573275625705719,0.0015732755418866873,1,2,2
56,36,3497,0.0,0.009999999776482582,1.7805776596069336,0.11151109635829926,0.3294749855995178,0.0032947498839348555,1,2,2
57,37,3576,0.0,0.009999999776482582,1.0282130241394043,0.004030432086437941,0.2540304362773895,0.0025403043255209923,1,2,2
