rank,node_id,label,pred_label,S_i,S_i_norm,P_high
1,3777,7,7,7.170702934265137,0.8815289735794067,0.9789924621582031
2,3637,8,8,7.063531875610352,0.8662188649177551,0.8593206405639648
3,3846,3,7,6.993370056152344,0.8561957478523254,0.9248136878013611
4,3477,0,7,6.9650421142578125,0.8521488904953003,0.9411059021949768
5,3593,0,7,6.945171356201172,0.8493102192878723,0.9889992475509644
6,3901,0,7,6.822019100189209,0.8317170143127441,0.9440658688545227
7,4183,3,7,6.784954071044922,0.8264220356941223,0.8951343297958374
8,4485,7,7,6.781498432159424,0.8259283304214478,0.9190148711204529
9,3955,7,7,6.6840972900390625,0.8120139241218567,0.8730742931365967
10,3816,8,7,6.619437217712402,0.8027767539024353,0.830952525138855
11,3794,7,7,6.076867580413818,0.7252668142318726,0.7134544849395752
12,5157,7,7,6.039246559143066,0.7198923826217651,0.7293318510055542
13,3721,1,7,6.013973712921143,0.7162819504737854,0.7303614020347595
14,3799,1,7,6.003950595855713,0.7148500680923462,0.7047050595283508
15,4370,6,7,5.98828125,0.7126116156578064,0.7100439071655273
16,4871,7,7,5.91176700592041,0.7016810178756714,0.6960604190826416
17,3584,3,7,5.875152587890625,0.6964503526687622,0.7097516655921936
18,3685,3,7,5.835543155670166,0.6907919049263,0.6777583956718445
19,3701,0,7,5.827731132507324,0.6896758675575256,0.6811846494674683
20,4330,7,7,5.77885627746582,0.6826937794685364,0.6671538352966309
