rank,edge_id,src,dst,R_ij,w_norm,severity,P_level,C_level,RiskLevel
1,3173,3335,3861,0.8016993403434753,1.0,6.611895561218262,5,7,35
2,3297,3208,3873,0.6657668948173523,0.8019999861717224,6.8109331130981445,5,7,35
3,2148,3208,3862,0.6657668948173523,0.8019999861717224,6.8109331130981445,5,7,35
4,4647,3100,4199,0.6450312733650208,1.0,5.515218734741211,5,6,30
5,1002,3100,3685,0.6450312733650208,1.0,5.515218734741211,5,6,30
6,1069,3100,3698,0.6450312733650208,1.0,5.515218734741211,5,6,30
7,2115,3116,3335,0.6429628729820251,0.8019999861717224,6.611895561218262,5,7,35
8,3636,3335,3804,0.6429628729820251,0.8019999861717224,6.611895561218262,5,7,35
9,2177,3335,4325,0.6429628729820251,0.8019999861717224,6.611895561218262,5,7,35
10,2174,3335,3866,0.6429628729820251,0.8019999861717224,6.611895561218262,5,7,35
11,4232,3225,4086,0.5770787596702576,0.8019999861717224,6.036847114562988,5,7,35
12,3128,3427,3855,0.5451228618621826,0.8019999861717224,5.757930278778076,5,6,30
13,1082,3100,4381,0.5173150897026062,0.8019999861717224,5.515218734741211,5,6,30
14,1001,3100,3771,0.5173150897026062,0.8019999861717224,5.515218734741211,5,6,30
15,999,3100,3684,0.5173150897026062,0.8019999861717224,5.515218734741211,5,6,30
16,4347,4357,4589,0.479785293340683,1.0,4.358497142791748,5,5,25
17,4345,3652,4357,0.479785293340683,1.0,4.358497142791748,5,5,25
18,351,3232,3351,0.46016454696655273,1.0,4.221151828765869,5,5,25
19,1288,3475,3491,0.4579404890537262,0.8019999861717224,4.9969868659973145,5,5,25
20,237,3487,3488,0.452114999294281,1.0,4.164804935455322,5,5,25
