rank,node_id,label,pred_label,S_i,S_i_norm,P_high
1,3475,8,8,7.760931491851807,0.965847373008728,0.9622315168380737
2,2795,0,7,7.069835186004639,0.867119312286377,0.9487712979316711
3,3487,8,8,6.987151145935059,0.8553072810173035,0.826934814453125
4,3335,7,7,6.9463911056518555,0.8494844436645508,0.9885793328285217
5,3300,7,7,6.923420429229736,0.8462029099464417,0.9907952547073364
6,3421,5,8,6.849087715148926,0.8355839848518372,0.7524548768997192
7,3448,7,8,6.834824085235596,0.8335462808609009,0.8190317153930664
8,3367,0,7,6.824612140655518,0.8320874571800232,0.9983710646629333
9,4357,7,7,6.813122749328613,0.8304461240768433,0.9107539653778076
10,3208,7,7,6.801521301269531,0.8287887573242188,0.9903503060340881
11,3225,3,7,6.6863274574279785,0.8123325109481812,0.841193675994873
12,3721,8,8,6.603076934814453,0.8004395365715027,0.7521493434906006
13,4091,7,7,6.552365303039551,0.7931950688362122,0.8712633848190308
14,3410,7,7,6.472811698913574,0.7818302512168884,0.8935379385948181
15,3100,0,7,6.469771385192871,0.7813959121704102,0.9544300436973572
16,3250,0,6,6.279422283172607,0.754203200340271,0.9515718221664429
17,3117,5,8,6.202807903289795,0.7432582974433899,0.6941059827804565
18,3299,1,7,6.151618957519531,0.7359455823898315,0.8154140710830688
19,3198,7,7,6.150516986846924,0.7357881665229797,0.7478978633880615
20,3439,0,7,6.14919900894165,0.7355998754501343,0.7284767627716064
