rank,node_id,label,pred_label,S_i,S_i_norm,P_high
1,779,0,8,8.0,1.0,1.0
2,4813,1,8,8.0,1.0,1.0
3,4640,0,8,7.39043664932251,0.9129195213317871,0.9111517667770386
4,3407,0,7,7.0,0.8571428656578064,1.0
5,3756,6,7,7.0,0.8571428656578064,1.0
6,2163,0,7,7.0,0.8571428656578064,1.0
7,2407,0,7,7.0,0.8571428656578064,1.0
8,4705,1,7,7.0,0.8571428656578064,1.0
9,4503,0,7,7.0,0.8571428656578064,1.0
10,2639,0,7,7.0,0.8571428656578064,1.0
11,2788,0,7,6.999998569488525,0.8571426272392273,1.0
12,2836,0,7,6.999998569488525,0.8571426272392273,0.9999995231628418
13,3426,0,7,6.999950885772705,0.8571358323097229,0.9999887347221375
14,3385,0,7,6.999858856201172,0.8571227192878723,0.9999977350234985
15,5234,0,7,6.999006271362305,0.8570008873939514,0.9997827410697937
16,2835,0,7,6.918072700500488,0.8454389572143555,0.9999540448188782
17,4568,4,7,6.8288984298706055,0.8326997756958008,0.9737294316291809
18,3970,0,6,6.097418308258057,0.7282026410102844,0.9839209318161011
19,4730,0,6,6.044902324676514,0.7207003235816956,0.9990206360816956
20,4030,0,6,6.0237226486206055,0.7176746726036072,0.9999156594276428
