rank,edge_id,src,dst,R_ij,w_norm,severity,P_level,C_level,RiskLevel
1,3173,3335,3861,1.0,1.0,7.00475549697876,5,8,40
2,5170,3300,4627,1.0,1.0,6.630422592163086,5,7,35
3,3636,3335,3804,1.0,1.0,7.00475549697876,5,8,40
4,1002,3100,3685,1.0,1.0,6.6893134117126465,5,7,35
5,1001,3100,3771,1.0,1.0,6.6893134117126465,5,7,35
6,999,3100,3684,1.0,1.0,6.6893134117126465,5,7,35
7,4605,3308,3341,1.0,1.0,5.70377779006958,5,6,30
8,3567,4010,4132,1.0,1.0,5.636282920837402,5,6,30
9,1082,3100,4381,1.0,1.0,6.6893134117126465,5,7,35
10,2177,3335,4325,1.0,1.0,7.00475549697876,5,8,40
11,36,3187,3189,1.0,1.0,5.503866195678711,5,6,30
12,3726,3448,4028,1.0,1.0,6.809197902679443,5,7,35
13,3724,3448,4271,1.0,1.0,6.809197902679443,5,7,35
14,2864,3448,4503,1.0,1.0,6.809197902679443,5,7,35
15,2115,3116,3335,1.0,1.0,7.00475549697876,5,8,40
16,5550,3368,4132,1.0,1.0,5.636282920837402,5,6,30
17,4647,3100,4199,1.0,1.0,6.6893134117126465,5,7,35
18,2872,3347,3448,1.0,1.0,6.809197902679443,5,7,35
19,2861,3448,3858,1.0,1.0,6.809197902679443,5,7,35
20,1288,3475,3491,1.0,1.0,7.209487438201904,5,8,40
