rank,edge_id,src,dst,R_ij,w_norm,severity,P_level,C_level,RiskLevel
1,5725,3816,5188,0.9999998807907104,0.9999998807907104,3.6266043186187744,5,4,20
2,6058,3777,4260,0.9999998807907104,0.9999998807907104,7.000436305999756,5,8,40
3,5483,3816,3870,0.9999998807907104,0.9999998807907104,3.6266043186187744,5,4,20
4,5219,4437,5171,0.9999998807907104,0.9999998807907104,5.7224650382995605,5,6,30
5,5221,4437,4530,0.9999998807907104,0.9999998807907104,5.7224650382995605,5,6,30
6,6056,3777,4238,0.9999998807907104,0.9999998807907104,7.000436305999756,5,8,40
7,5137,3688,3717,0.9999998807907104,0.9999998807907104,4.726516246795654,5,5,25
8,5216,4437,5170,0.9999998807907104,0.9999998807907104,5.7224650382995605,5,6,30
9,2288,3701,4144,0.9999998807907104,0.9999998807907104,5.52996826171875,5,6,30
10,2115,3651,4265,0.9999998807907104,0.9999998807907104,5.068131446838379,5,6,30
11,2111,3651,4815,0.9999998807907104,0.9999998807907104,5.068131446838379,5,6,30
12,4998,3816,5160,0.9999998807907104,0.9999998807907104,3.6266043186187744,5,4,20
13,372,3477,3862,0.9999998807907104,0.9999998807907104,6.971382141113281,5,7,35
14,5218,4437,5169,0.9999998807907104,0.9999998807907104,5.7224650382995605,5,6,30
15,2124,3651,4687,0.9999998807907104,0.9999998807907104,5.068131446838379,5,6,30
16,2286,3701,4109,0.9999998807907104,0.9999998807907104,5.52996826171875,5,6,30
17,4861,4437,4819,0.9999998807907104,0.9999998807907104,5.7224650382995605,5,6,30
18,2894,4437,4521,0.9999998807907104,0.9999998807907104,5.7224650382995605,5,6,30
19,2904,3584,4613,0.9999998807907104,0.9999998807907104,5.681065559387207,5,6,30
20,4863,4437,5141,0.9999998807907104,0.9999998807907104,5.7224650382995605,5,6,30
