rank,edge_id,src,dst,R_ij,w_norm,severity,P_level,C_level,RiskLevel
1,5170,3300,4627,0.8330966234207153,1.0,6.831676483154297,5,7,35
2,2930,3244,3300,0.8330966234207153,1.0,6.831676483154297,5,7,35
3,3636,3335,3804,0.808760941028595,1.0,6.6613264083862305,5,7,35
4,2115,3116,3335,0.808760941028595,1.0,6.6613264083862305,5,7,35
5,2174,3335,3866,0.808760941028595,1.0,6.6613264083862305,5,7,35
6,2177,3335,4325,0.808760941028595,1.0,6.6613264083862305,5,7,35
7,3173,3335,3861,0.808760941028595,1.0,6.6613264083862305,5,7,35
8,2864,3448,4503,0.7092138528823853,1.0,5.964497089385986,5,6,30
9,3724,3448,4271,0.7092138528823853,1.0,5.964497089385986,5,6,30
10,2872,3347,3448,0.7092138528823853,1.0,5.964497089385986,5,6,30
11,2861,3448,3858,0.7092138528823853,1.0,5.964497089385986,5,6,30
12,3726,3448,4028,0.7092138528823853,1.0,5.964497089385986,5,6,30
13,237,3487,3488,0.6728229522705078,1.0,5.709760665893555,5,6,30
14,4232,3225,4086,0.6410178542137146,1.0,5.487124919891357,5,6,30
15,4055,4357,4563,0.6333782076835632,1.0,5.433647632598877,5,6,30
16,4053,4357,4562,0.6333782076835632,1.0,5.433647632598877,5,6,30
17,4345,3652,4357,0.6333782076835632,1.0,5.433647632598877,5,6,30
18,4347,4357,4589,0.6333782076835632,1.0,5.433647632598877,5,6,30
19,1288,3475,3491,0.6055833101272583,1.0,5.239083290100098,5,6,30
20,3297,3208,3873,0.5968669056892395,1.0,5.178068161010742,5,6,30
