rank,node_id,label,pred_label,S_i,S_i_norm,P_high
1,2795,0,8,7.331413745880127,0.904487669467926,0.9562696218490601
2,3421,5,8,7.298410892486572,0.8997730016708374,0.8649221658706665
3,3367,0,7,6.962916851043701,0.8518452644348145,0.9894228577613831
4,3208,7,7,6.959114074707031,0.8513020277023315,0.9847142100334167
5,3335,7,7,6.924476623535156,0.8463538289070129,0.9723488688468933
6,3721,8,8,6.7786712646484375,0.8255244493484497,0.8089883327484131
7,3250,0,7,6.77034330368042,0.8243347406387329,0.936553418636322
8,3300,7,7,6.743732452392578,0.8205332159996033,0.9247057437896729
9,3475,8,8,6.743534088134766,0.8205048441886902,0.8028551936149597
10,3448,7,7,6.724551200866699,0.8177930116653442,0.9250668287277222
11,3100,0,7,6.6090521812438965,0.8012931942939758,0.8933897614479065
12,3487,8,8,6.5789899826049805,0.7969985604286194,0.80878746509552
13,4091,7,7,6.492679595947266,0.784668505191803,0.8753060102462769
14,3439,0,7,6.318294525146484,0.7597563862800598,0.7840099334716797
15,3198,7,7,6.283679008483887,0.7548112869262695,0.7852887511253357
16,3410,7,7,6.1541290283203125,0.7363041639328003,0.756940484046936
17,3901,7,7,5.902143955230713,0.7003062963485718,0.7041975855827332
18,3537,8,8,5.877323150634766,0.6967604756355286,0.6859281063079834
19,3308,0,7,5.66666841506958,0.6666669249534607,0.6695178151130676
20,4132,6,7,5.664381504058838,0.6663402318954468,0.6640896201133728
