rank,edge_id,src,dst,R_ij,w_norm,severity,P_level,C_level,RiskLevel
1,5487,3584,4470,0.9999998807907104,0.9999998807907104,1.9055640697479248,5,2,10
2,1822,3816,4211,0.9999998807907104,0.9999998807907104,3.1861629486083984,5,4,20
3,1700,4795,4913,0.9999998807907104,0.9999998807907104,1.6291680335998535,5,2,10
4,2214,4135,4955,0.9999998807907104,0.9999998807907104,1.6594465970993042,5,2,10
5,837,3739,3777,0.9999998807907104,0.9999998807907104,1.9624665975570679,5,2,10
6,4812,3697,4381,0.9999998807907104,0.9999998807907104,2.7953176498413086,5,3,15
7,6886,3663,3747,0.9999998807907104,0.9999998807907104,2.0611679553985596,5,3,15
8,1168,4075,4523,0.9999998807907104,0.9999998807907104,2.163417100906372,5,3,15
9,3077,3794,4699,0.9999998807907104,0.9999998807907104,4.39592170715332,5,5,25
10,4165,4485,5102,0.9999998807907104,0.9999998807907104,6.376462936401367,5,7,35
11,4170,4485,4620,0.9999998807907104,0.9999998807907104,6.376462936401367,5,7,35
12,5137,3688,3717,0.9999998807907104,0.9999998807907104,3.5926671028137207,5,4,20
13,1155,3545,4075,0.9999998807907104,0.9999998807907104,2.163417100906372,5,3,15
14,4210,4366,4925,0.9999998807907104,0.9999998807907104,3.742696762084961,5,4,20
15,372,3477,3862,0.9999998807907104,0.9999998807907104,1.5510958433151245,5,2,10
16,4831,4381,4584,0.9999998807907104,0.9999998807907104,2.7953176498413086,5,3,15
17,2383,4206,4289,0.9999998807907104,0.9999998807907104,1.6891893148422241,5,2,10
18,6058,3777,4260,0.9999998807907104,0.9999998807907104,1.8195769786834717,5,2,10
19,2288,3701,4144,0.9999998807907104,0.9999998807907104,2.0552098751068115,5,3,15
20,5221,4437,4530,0.9999998807907104,0.9999998807907104,3.537398099899292,5,4,20
